county,year,month,num_of_inmates,num_of_inmate_days,cost_in_dollars,link
gillespie,2017,may,6,128,21157.12,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
glasscock,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
goliad,2017,may,1,30,1350,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
gonzales,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
gray,2017,may,2,44,1936,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
grayson,2017,may,19,499,29191.5,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
gregg,2017,may,17,381,11788.140000000001,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
grimes,2017,may,4,60,2205,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
guadalupe,2017,may,11,227,10160.52,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hale,2017,may,5,99,3762,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hall,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hamilton,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hansford,2017,may,4,100,3500,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hardeman,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hardin,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
harris,2017,may,977,21974,1648050,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
harrison,2017,may,9,212,7451.8,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
haskell (private facility),2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hays,2017,may,42,1117,85874.95999999999,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hemphill,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
henderson,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hidalgo,2017,may,540,11473,580648.53,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hill,2017,may,7,95,2596.3500000000004,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hockley,2017,may,4,68,3071.56,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hood,2017,may,3,67,3333.92,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hopkins,2017,may,5,82,3280,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
houston,2017,may,1,30,1327.5,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
howard,2017,may,2,37,1861.84,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hudspeth,2017,may,7,133,2073.4700000000003,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hunt,2017,may,14,319,12791.9,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
hutchinson,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
irion,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
jack,2017,may,5,134,2879.66,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
jackson,2017,may,6,166,8245.220000000001,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
jasper,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
jeff davis,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
jefferson,2017,may,11,212,11660,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
jim hogg,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
jim wells,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
johnson,2017,may,39,807,43586.07,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
jones,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
karnes,2017,may,1,13,273,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
kaufman,2017,may,24,440,16324,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
kendall,2017,may,11,239,15719.03,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
kenedy,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
kent,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
kerr,2017,may,10,173,7115.49,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
kimble,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
king,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
kinney,2017,may,2,60,2757.6,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
kleberg,2017,may,3,17,803.08,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
knox,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
la salle,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
lamar,2017,may,5,42,1244.04,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
lamb,2017,may,2,60,3216,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
lampasas,2017,may,1,30,3566.7,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
lavaca,2017,may,1,30,1337.4,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
lee,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
leon,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
liberty (private facility),2017,may,7,136,6324,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
limestone,2017,may,6,122,5124,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
lipscomb,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
live oak,2017,may,3,61,3291.56,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
llano,2017,may,2,36,810,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
loving,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
lubbock,2017,may,29,716,37862.08,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
lynn,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
madison,2017,may,4,73,2564.4900000000002,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
marion,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
martin,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
mason,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
matagorda,2017,may,6,132,3693.36,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
maverick,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
mcculloch,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
mclennan,2017,may,63,1523,81602.34,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
mcmullen,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
medina,2017,may,2,35,2192.75,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
menard,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
midland,2017,may,54,686,60299.4,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
milam,2017,may,2,43,2021,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
mills,2017,may,2,55,3159.2,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
mitchell,2017,may,2,60,2280,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
montague,2017,may,1,21,746.76,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
montgomery,2017,may,114,2085,89905.2,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
moore,2017,may,7,178,16137.48,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
morris,2017,may,1,4,120,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
motley,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
nacogdoches,2017,may,8,194,6014,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
navarro,2017,may,6,151,9060,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
newton,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
nolan,2017,may,3,38,1710,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
nueces,2017,may,11,167,5355.6900000000005,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
ochiltree,2017,may,5,118,7000.94,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
oldham,2017,may,1,7,472.5,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
orange,2017,may,2,42,1585.5,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
palo pinto,2017,may,1,30,1197.9,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
panola,2017,may,2,60,2760,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
parker,2017,may,21,386,20087.440000000002,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
parmer,2017,may,18,308,9052.12,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
pecos,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
polk,2017,may,2,40,791.6,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
potter,2017,may,28,603,36270.450000000004,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
presidio,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
rains,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
randall,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
reagan,2017,may,2,56,2053.52,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
real,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
red river,2017,may,1,30,720.9,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
reeves,2017,may,5,70,3243.8,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
refugio,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
roberts,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
robertson,2017,may,3,32,1600,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
rockwall,2017,may,17,282,5140.860000000001,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
runnels,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
rusk,2017,may,5,95,1793.6,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
sabine,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
san augustine,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
san jacinto,2017,may,2,37,1016.02,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
san patricio,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
san saba,2017,may,5,20,2478.8,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
schleicher,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
scurry,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
shackelford,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
shelby,2017,may,2,58,2436,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
sherman,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
smith,2017,may,26,647,35817.92,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
somervell,2017,may,3,46,1748,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
starr,2017,may,5,49,1106.42,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
stephens,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
sterling,2017,may,1,30,1350,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
stonewall,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
sutton,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
swisher,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
tarrant,2017,may,319,6978,279120,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
taylor,2017,may,7,105,5040,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
terrell,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
terry,2017,may,1,30,1682.1,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
throckmorton,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
titus,2017,may,7,131,3602.5,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
tom green,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
travis,2017,may,161,4139,469983.45,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
trinity,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
tyler,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
upshur,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
upton,2017,may,2,6,225,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
uvalde,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
val verde (private facility),2017,may,7,180,1800,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
van zandt,2017,may,4,93,2560.29,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
victoria,2017,may,5,118,5160.14,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
walker,2017,may,6,170,5514.8,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
waller,2017,may,17,375,13822.5,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
ward,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
washington,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
webb,2017,may,127,1930,107732.6,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
wharton,2017,may,7,174,8700,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
wheeler,2017,may,1,4,244.44,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
wichita,2017,may,13,350,16093,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
wilbarger,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
willacy,2017,may,4,120,3703.2,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
williamson,2017,may,64,1282,70510,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
wilson,2017,may,2,7,343,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
winkler,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
wise,2017,may,2,60,1619.4,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
wood,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
yoakum,2017,may,1,30,1407,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
young,2017,may,1,30,759,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
zapata,2017,may,9,179,4478.58,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
zavala,2017,may,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report May 2017.pdf
anderson,2017,april,3,93,2046,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
andrews,2017,april,1,31,1395,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
angelina,2017,april,4,88,4105.2,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
aransas,2017,april,16,32,1595.2,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
archer,2017,april,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
armstrong,2017,april,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
atascosa,2017,april,6,111,7700.07,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
austin,2017,april,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
bailey,2017,april,18,406,15724.38,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
bandera,2017,april,1,31,1498.23,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
bastrop,2017,april,35,663,29642.73,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
baylor,2017,april,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
bee,2017,april,2,52,2089.88,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
bell,2017,april,31,589,33944.07,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
bexar,2017,april,242,4711,216706,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
blanco,2017,april,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
borden,2017,april,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
bosque,2017,april,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
bowie (private facility),2017,april,1,31,1622.54,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
brazoria,2017,april,24,610,20746.1,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
brazos,2017,april,55,1203,30171.24,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
brewster,2017,april,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
briscoe,2017,april,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
brooks,2017,april,2,33,1932.1499999999999,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
brown,2017,april,5,79,2528,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
burleson,2017,april,1,31,1091.2,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
burnet,2017,april,11,218,12918.68,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
caldwell,2017,april,2,8,285.12,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
calhoun,2017,april,2,39,1551.03,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
callahan,2017,april,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
cameron,2017,april,206,5065,236079.65,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
camp,2017,april,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
carson,2017,april,7,133,3325,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
cass,2017,april,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
castro,2017,april,1,5,369.15000000000003,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report April 2017.pdf
